descriptionIlabel;;;;;;;;;;;;
Картер Пейдж - человек, которого называют бывшим советником Дональда Трампа, продолжает свой визит в Москву. Проводит встречи с бизнесменами, даёт интервью и рассуждает о будущем российско-американских отношений.I3;;;;;;;;;;;;
"Группа компаний «Агро-Белогорье» запустила третий комбикормовый завод мощностью 210 тыс. тонн кормов в год. Предприятие стоимостью 1,8 млрд рублей заработало в Яковлевском районе. В торжественном открытии завода приняли участие председатель совета директоров ООО «ГК Агро-Белогорье» Владимир Зотов, заместитель губернатора Белгородской области – начальник департамента агропромышленного комплекса и воспроизводства окружающей среды Станислав Алейник, глава Яковлевского района Иван Бойченко, управляющий ""BDW Feedmill Systems"" Хайнрих Волькинг, а также все руководители предприятий и структурных подразделений Группы компаний «Агро-Белогорье». Основным поставщиком технологического оборудования для предприятия стала немецкая компания BDW. Владелец фирмы - Хайнрих Волькинг передал Владимиру Зотову и руководителю завода Алексею Костяеву символический ключ и пожелал всем сотрудникам нового предприятия безопасной и продуктивной работы. «Моя семья уже более 100 лет в четырёх поколениях занимается строительством подобных заводов, – отметил господин Волькинг. – И мы впервые за столь длительное время реализовали такой крупный проект за такое короткое время. В общей сложности на его возведение ушло меньше года. Я горд и рад этому факту.I4";;;;;;;;;;;;
"""Ак Барс"": Вопрос объединения с Татфондбанком не обсуждаетсяI3";;;;;;;;;;;;
"О перспективах деятельности, дивидендной политике и организации новой системы продаж рассказал в программе ""Мнение"" Андрей Жарков, президент ПАО ""АЛРОСА"".I3";;;;;;;;;;;;
В январе 2017 года ОАО «Алтайский маслосырзавод» после успешной реконструкции вновь запустил производство элитных сыров «Алтайский», «Швейцарский» и «Советский». На сегодняшний день мощности завода позволяют перерабатывать до 80 тонн молока в сутки, а сам завод нацелен на производство качественных натуральных сыров. По завершению реконструкции предприятие трудоустроит около 100 рабочих, сообщается на сайте управления Алтайского края по пищевой, перерабатывающей, фармацевтической промышленности и биотехнологиям. Благодаря модернизации производства было установлено высокотехнологичное оборудование, установлена новая линия в приемном отделении, проведены капитальный ремонт всех производственных помещений и автоматизация технологического оборудования. В планах предприятия запустить в производство новую линейку плавленых сыров.I4;;;;;;;;;;;;
Кризис не помешал «Альфа-групп» увеличить активы и получить в 2008 г. рекордную прибыль. Правда, ее акционеры остались без дивидендовI4;;;;;;;;;;;;
Дональда Трампа обвиняют в протекционизме. Но у нового президента США - мастера популистского красноречия - железобетонные контраргументы: мы пускаем все товары бесплатно, при этом попасть в Китай невозможно.I3;;;;;;;;;;;;
Завод мощностью 42 млрд куб. м газа в год будет включать крупнейшее в мире производство гелияI3;;;;;;;;;;;;
"ООО ""АПП ""Ставрополье"" при содействии Корпорации развития Ставропольского края начало реализацию инвестиционного проекта по строительству крупнейшего на Юге России мясоперерабатывающего завода.I4";;;;;;;;;;;;
"В холдинге «Ариант» подвели итоги производства за 2016 год. Рост составил 28%. Всего группой компаний было произведено 95 789 000 бутылок вина. Основную долю объема занимает ООО «Кубань-Вино». Так на двух заводах Краснодарского края было произведено 56,5 млн. бутылок, что на 42,3 % больше, чем за 2015 год. Для сравнения по итогам 2015 года, до приобретения нового завода, виноделья за 12 месяцев выпустила 39 млн бутылок. Производство шампанского и игристых вин выросло на 65,7%, тихих – на 38,2%. В начале 2016 года состоялась сделка по приобретению компанией «Кубань-Вино» завода ""Русский Азов"", который расположен также в Темрюкском районе. Новая, оснащенная достаточно современным оборудованием, площадка позволила решить проблему дефицита собственных мощностей, которые за счет роста объемов в 2015 году были почти полностью загружены.I4";;;;;;;;;;;;
"В региональном правительстве состоялось заседание экспертного совета особой экономической зоны ""Узловая"", на котором рассмотрена заявка компании ""Арнест МеталлПак"" на получение статуса резидента ОЭЗ ""Узовая"".I3";;;;;;;;;;;;
"На полузащитника дортмундской ""Боруссии"" Марко Ройса претендует лондонский ""Арсенал""Читать дальше .I3";;;;;;;;;;;;
   С тех пор как известный режиссер–документалист Виталий Манский поссорился с известным министром Владимиром Мединским,I2;;;;;;;;;;;;
"Сыграны первые матчи 1/8 финала футбольной Лиги Европы. Их результаты сообщает официальный сайт издания ""Спорт-Экспресс"". ""Ювентус"" в гостях победил ""Порту""2:0. Голы забили: у ""Севильи"" – Сарабиа и Корреа, у ""Лестера"" –  Варди. В другом матче ""Севилья"" на своем поле выиграла у ""Лестера"" 2:1. Голы забили: у ""Манчестер Сити"" – Стерлинг, Агуэро (2), Стоунс и Сане, у ""Монако"" –  Фалькао (2) и Мбаппе. Ответные матчи состоятся 14 марта.I3";;;;;;;;;;;;
"Авиакомпания ""Аэрофлот"" отменяет 42 рейса в Москву и из Москвы 3 и 4 декабря ""в связи с прогнозом неблагоприятных метеоусловий в аэропорту ""Шереметьево"", говорится в сообщении авиаперевозчика.I5";;;;;;;;;;;;
"Арбитражные суды зарегистрировали заявления ""Аэрофлота"" о банкротстве дочерних компаний ""Донавиа"", ""Оренбургские авиалинии"", а также авиакомпании  ""Бурятские авиалинии"".I2";;;;;;;;;;;;
"Арбитражные суды зарегистрировали заявления ""Аэрофлота"" о банкротстве дочерних компаний ""Донавиа"", ""Оренбургские авиалиии и ""Бурятские авиалинии"".I2";;;;;;;;;;;;
"5 декабря 2016, 07:33, Travel.ru -  	    Авиакомпания ""Аэрофлот"" намерена увеличить с началом действия летнего расписания в конце марта число рейсов из Москвы в лондонский аэропорт Heathrow.I1";;;;;;;;;;;;
"РИА ""Новости"", Новость: Крупнейшая российская авиакомпания ""Аэрофлот"" в 2016 году, по предварительным данным, нарастила перевозки пассажиров в годовом выражении на 11% - до 28,9 миллиона человек, в декабре - на 15,3%, до 2,4I4";;;;;;;;;;;;
"Группа ""Аэрофлот"" в 2016 г. увеличила перевозку пассажиров на 10,3% в годовом выражении до 43,4 млн человек. При этом авиакомпания ""Аэрофлот"" увеличила перевозку пассажиров на 11% до 29,0 млн человек.I4";;;;;;;;;;;;
"Авиакомпания ""Аэрофлот"" выступает против сохранения бесплатной нормы провоза багажа для всех тарифов авиаперевозчиков (в настоящее время обсуждается возможность отмены такой нормы для отдельных тарифов).I2";;;;;;;;;;;;
"Долги ""Трансаэро"" слишком велики, а сама авиакомпания находится в состоянии банкротства. ""Аэрофлот"" не намерен конвертировать задолженность в акции. Таково мнение генерального директора авиаперевозчика Виталия Савельева.I2";;;;;;;;;;;;
"Авиакомпания ""Аэрофлот"" с понедельника начала выполнять ежедневные рейсы Сочи — Симферополь, первый самолет прибыл в крымскую столицу в 8:16 мск — на 14 минут раньше расписания, свидетельствует онлайн-табло симферопольского аэропорта.I1";;;;;;;;;;;;
"""Аэрофлот"" отменил ряд рейсов на внутрироссийских направлениях из-за приостановки эксплуатации шестиI5";;;;;;;;;;;;
Комсомольская правда, Новость: В 2017 году в аэропорту Салехарда появятся два новых перевозчикаI4;;;;;;;;;;;;
"Арбитражный суд Оренбургской области принял заявление российского авиаперевозчика ""Аэрофлот"" о банкротствеI2";;;;;;;;;;;;
"Чистая прибыль российской авиакомпании ""Аэрофлот"" в 2016 году по РСБУ составила 30,62 млрд рублей.I1";;;;;;;;;;;;
Группа «Аэрофлот» стала лауреатом независимой премии «Время инноваций-2016» в категории «Транспорт и машиностроение». Торжественная церемония награждения за достижения в области инновационной деятельности состоялась в Сочи.I1;;;;;;;;;;;;
"Российская авиакомпания ""Аэрофлот"" была названа самой мощной по версии консалтингового агентства Brand Finance.I1";;;;;;;;;;;;
"Гендиректор группы ""Аэрофлота"" Виталий Савельев в интервью программы ""Мнение"" заявил о лидерстве компании по уровню инновации.I1";;;;;;;;;;;;
"""Аэрофлот"" против сохранения обязательной нормы провоза багажа во всех тарифах российских авиаперевозчиков, говорится в сообщении компании.I2";;;;;;;;;;;;
"Газета.Ru, Новость: Заместитель генерального директора по работе с клиентами ""Аэрофлота"" Вадим Зингман в ходе пресс-конференции в Москве, посвященной вопросам массовых отмен рейсов авиакомпанииI3";;;;;;;;;;;;
"Акции ""Аэрофлота"" накануне обновили исторические максимумы на ожиданиях высоких дивидендов за 2016 год. В течение торгов цена сделок достигала почти 165 рублей.I1";;;;;;;;;;;;
"Белорусская компания ""Бабушкина крынка"" выпустила новинку – греческий йогурт новой торговой линейки Eco Greco.I1";;;;;;;;;;;;
"Сыграны первые матчи 1/8 финала футбольной Лиги Европы. Их результаты сообщает официальный сайт издания ""Спорт-Экспресс"". ""Бавария"" в Монхене разгромила ""Арсенал"" 5:1. Голы забили: у ""Баварии"" – Роббен, Левандовски, Тиагу Алькантара (2), Мюллер, у ""Арсенала"" – Санчес. В другой матче ""Бенфика"" на своем поле выиграла у дортмундской ""Боруссии"" 1:0. Голы забили: у ""Реала"" –  Бензема, Кросс, Каземиру, у ""Наполи"" – Инсиньо. Ответные матчи состоятся 8 марта.I3";;;;;;;;;;;;
"В Арбитражный суд Москвы поступил иск от нефтяной компании ""Башнефть"" к ""Транснефти"", следует из данных.I2";;;;;;;;;;;;
"Совет директоров ""Башнефти"" рекомендовал акционерам принять обязательное предложение ""Роснефти"" по выкупу обыкновенных акций ""Башнефти"" по цене 3706,41 руб. за одну акцию.I3";;;;;;;;;;;;
Сегодня, 17 января, стало известно, что в конце прошлой недели некоторым жителям Минска положили в почтовые ящики поддельные извещения об уплате налога на тунеядство. Представители «Белпочты» прокомментировали этот инцидент.I2;;;;;;;;;;;;
В ночь с 16 на 17 января 2017 года у абонентов услуг ByFly и Home Wi-Fi могут возникнуть проблемы с доступом в интернет. Об этом сегодня предупредили представители РУП «Белтелеком», опубликовав информацию на своем сайте.I3;;;;;;;;;;;;
Нельсон Семеду может покинуть Португалию уже в ближайшее времяЧитать дальшеI3;;;;;;;;;;;;
Роскачество исследовало игристые напитки почти 60 брендов стоимостью от 150 и до 6 тысяч рублей за бутылку. В основном, нарушения касаются содержания этилового спирта, а также доли сахара. Комментирует заместитель руководителя ведомства Мария Сапунцова.I2;;;;;;;;;;;;
Меньше суток остаётся до инаугурации Дональда Трампа. Телеканал CNN свой эфир посвятил его убийству: обсуждали, что будет, если Трампа застрелят прямо во время присяги. Кого 45 президент США выбрал в свою команду? Кто целиком разделяет его принципы?I3;;;;;;;;;;;;
«БИАКСПЛЕН» (входит в группу СИБУР) продал компании «Рускомпозит» производство изоляционно-композиционных материалов (ИКМ), которое базируется на промышленной площадке в Новокуйбышевске (Самарская область).I3;;;;;;;;;;;;
"В течение 2017 года «ВымпелКом» (бренд «Билайн») сократит более половины арендуемых офисных площадей и пересмотрит условия аренды. Об этом сообщили наши коллеги из РБК, отметив, что до конца года 50-70% сотрудников оператора должны будут перейти на систему удаленной работы.До конца года ""Билайн"" не только сократит более половины арендуемых офисных площадей, но и пересмотрит условия аренды технических площадей по размещению примерно 7 тысяч базовых станций во всех регионах своего присутствия. И пресс-секретарь ""ВымпелКома"" Анна Айбашева отметила, что сокращение площадей позволит оператору существенно снизить затраты на аренду. Правда, о какой именно сумме идет речь, пока не уточняется.Анна Айбашева связывает эту инициативу с реализацией программы BeeFree, запущенной еще в прошлом году. Тогда часть сотрудников подписывали дополнение к трудовому договору и переходили на работу частично вне офиса. При этом на формат удаленной работы не могли переходить сотрудники офисов продаж, специалисты, которые имеют дело с большим объемом документов, технические работники и другие специалисты.Правда, если в 2016 году тестирование проекта проходило лишь в нескольких регионах, то к концу 2017 года он должен охватить 50-70% сотрудников компании по всей России. При этом представитель оператора отметила, что программа BeeFree оказалась намного популярнее среди работников компании, чем ожидалось. И по итогам 2016 года на удаленный тип работы перешли около 3 тысяч сотрудников ""Билайн"".Ранее редакция THG.ru опубликовала статью о современных технологиях Virtuozzo. Интервью с главным архитектором компании Virtuozzo Павлом Емельяновым. Подробнее об этом читайте в статье ""Современные технологии Virtuozzo: перспективы контейнеров на современном рынке"".I5";;;;;;;;;;;;
Китай может исправить свое экономическое положение, если присмотрится к российскому опыту и перестанет тратить свои резервы. Если Пекин не изменит курс, то над ним нависнет серьезная угроза дефолта.I3;;;;;;;;;;;;
"Интерфакс-Россия, Новость: Самолет ""Боинг-767"", выполняющий рейс Пермь - Камрань (Вьетнам) и совершивший из-за технической неисправности на борту остановку в красноярском аэропорту, вылетел к месту назначенияI3";;;;;;;;;;;;
Рост задолженности преследовал крупнейшие мировые нефтяные компании во время обрушения сырьевых котировок, но теперь снижение затрат и повышение цен на нефть привели к снижению необходимости заимствовать средства, передает Bloomberg.I3;;;;;;;;;;;;
"""Большая тройка"" решает вопрос, как продлить лицензии на 3G, но не попасть при этом под санкции. Этот вопрос, как пишут СМИ, планируется обсудить в Роскомнадзоре в четверг.I3";;;;;;;;;;;;
    Рейтинговые агентства Moody’s, S&amp;P Ratings и Fitch Rating, составляющие так называемую большую тройку международныхI3;;;;;;;;;;;
По оценкам Bank of America, потребуется время как минимум до сентября, чтобы оценить потенциал роста прибыли индийских компаний, учитывая политические потрясения, в то время как фондовый индекс страны демонстрирует одни из лучших темпов роста в этом году.I1;;;;;;;;;;;;
"""Бомбой"", из-за которой закрывали главный музей Петербурга Эрмитаж, оказалась всего лишь кошка в переноске.I3";;;;;;;;;;;;
Восток-Медиа, Новость: Аномальные морозы, сковавшие в декабре 2016-го и январе нового года западные регионы страны, сыграли недобрую службу авиационному сообщениюI2;;;;;;;;;;;;
"Нападающий ""Галатасарая"" Лукаш Подольски может перейти в чемпионат КитаяЧитать дальшеI3";;;;;;;;;;;;
"Героем программы ""В рабочий полдень"" на этот раз стал владелец компании ""Стройгазмонтаж"" Аркадий Ротенберг. Автору и ведущей Наиле Аскер-заде он рассказал о строительстве Керченского моста.I3";;;;;;;;;;;;
"Героем программы ""В рабочий полдень"" стал президент и основной акционер ""ЛУКойла"" Вагит Алекперов. Автору и ведущей Наиле Аскер-заде он рассказал, во что играл в детстве, что будет с ценами на бензин и как компания будет сотрудничать с ""Башнефтью""I3";;;;;;;;;;;;
"Гостем ведущей программы ""В рабочий полдень"" Наили Аскер-заде стал известный российский модельер Валентин Юдашкин. Кутюрье рассказал о том, как почти 30 лет назад прошел его первый показ прямо в угольном забое, а также о том, как одевать первых ледиI3";;;;;;;;;;;;
"Героем программы ""В рабочий полдень"" стал режиссер и генеральный директор ""Мосфильма"" Карен Шахназаров. Автору и ведущей Наиле Аскер-заде он показал автомобиль, на котором ездил Владимир Ленин, и рассказал, как строили декорации к ""Анне Карениной"".I3";;;;;;;;;;;;
"Героем программы ""В рабочий полдень"" на этот раз стал один из самых успешных бизнесменов России 90-х годов Олег Бойко. Он рассказал о том, как удалось увеличить сеть РИВ ГОш в три раза и  как он придумал первую в России банковскую карту.I1";;;;;;;;;;;;
"Цены на шоколад могут вырасти во всем мире. Об этом в программе ""В рабочий полдень"" предупреждает основатель фабрики ""Конфаэль"" Ирина Эльдарханова. В чем причины, и что на самом деле продают в магазинах, если натурального шоколада на полках только 30%?I4";;;;;;;;;;;;
"В Сингапуре открылась выездная конференция международного дискуссионного клуба ""Валдай"" об участии России в развитии Азии. В течение двух дней её участники обсудят перспективы сотрудничества азиатских и российских рынков. О чем именно пойдёт речь?I3";;;;;;;;;;;;
Об этом заявил вице-премьер правительства Александр Хлопонин, курирующий алкогольное регулирование.I3;;;;;;;;;;;;
Хвостовой стабилизатор является силовым механизмом, отвечающим за управление судном. Эксплуатация с его дефектом недопустима. По словам сотрудника одной из авиакомпаний, причина дефекта не конструктивная, а производственная - повышенный натяг втулок при сборке.I3;;;;;;;;;;;;
"Против соответствующего предложения Минфина выступало Минэкономразвития. Министерства не могли договориться всю осень. Теперь исключений не будет, но ""в случае необходимости""  правительство будет готово понизить размер  дивидендов, причитающихся государству.I5";;;;;;;;;;;;
Роуд-шоу в Азии проходило на прошлой неделе. По данным издания, если к воскресенью удалось найти покупателей на весь пакет, то о сделке будет объявлено уже сегодня. Спрос на акции высокий, группа Прохорова могла бы продать и больше, чем 5%, думают аналитики.I1;;;;;;;;;;;;
На этом фоне приток денег населения в банковскую систему России уже практически остановился, за год сократившись примерно в 20 раз. Внутри банковского сектора движение свелось к тому, что россияне массово выводят деньги из мелких банков и перекладывают их в крупные.I5;;;;;;;;;;;;
Страховщики обещают оплатить диагностику и лечение самых серьезных заболеваний, но на самом деле защищают в основном здоровых людей, пишет газета. Обычно отказывают уже заболевшим людям, а также тем, чьи родственники до наступления старости болели критическими заболеваниями.I3;;;;;;;;;;;;
Минфин, Минэкономразвития и Центр стратегических разработок (ЦСР) под руководством Алексея Кудрина сошлись во мнении, что нагрузку на население можно повышать, пишет издание со ссылкой на федеральных чиновников и экспертов, участвующих в обсуждении.I4;;;;;;;;;;;;
"Минэкономразвития внесло в правительство проект распоряжения о смене статуса выходца из ""Штази""  Маттиаса Варнига в совете директоров ""Роснефти"" с профессионального поверенного государства на статус независимого директора. Это изменит соотношение голосов в совете директоров.I3";;;;;;;;;;;;
С 1 января продолжать взыскание долгов с населения и напрямую взаимодействовать с должниками могут только компании, включенные в реестр Федеральной службы судебных приставов. Но компании, которые не вошли в этот список, продолжают обзвон клиентов, отмечает газета.I2;;;;;;;;;;;;
Партнеры договорились об объединении медиаактивов весной 2013 года. Мамут стал управляющим партнером. В обмен на это Потанин получил право при желании продать Мамуту свою долю по фиксированной цене.I4;;;;;;;;;;;;
"Похожий  контракт о научном обосновании целесообразности введения на территории РФ  системы взимания платы за проезд по автомобильным дорогам общего пользования транспортных средств с разрешенной максимальной массой от 3,5 до 12 т был заключен между ФКУ ""Ространсмодернизация"" и Высшей школой экономики в июне.I3";;;;;;;;;;;;
Взамен чиновники предложат малоимущим адресную помощь, рассказали изданию четыре федеральных чиновника. Льготным НДС в 10% вместо 18% в России облагаются основные продукты питания, товары для детей, книги и лекарства. Из-за этого бюджет теряет около 150 млрд рублей в год.I3;;;;;;;;;;;;
В деле, которое дошло до Верховного суда, налоговики взыскали долг компании с формально независимого от нее банка. До сих пор налоговики не взыскивали недоимки с компаний, на которые должник переводил бизнес.  А это известный способ спрятать активы от бюджета.I2;;;;;;;;;;;;
Госкомпания выступила против предложения Минфина по переводу своего старейшего месторождения на обложение налогом на добавленный доход. Как уже подсчитали в Минфине, льгота окажется существенным ударом по российскому бюджету.I2;;;;;;;;;;;;
Суды нередко отказывают россиянам в банкротстве, ссылаясь на отсутствие у них имущества, подлежащего реализации, хотя такое основание для отказа в законе о банкротстве физических лиц не указано. Минэкономразвития готовит поправки, меняющие ситуацию.I2;;;;;;;;;;;;
Сделка должна была состояться до 5 декабря, расчеты с покупателем должны быть завершены не позднее 15 декабря, а федеральный бюджет должен получить средства до 31 декабря. Пока, правда, еще есть способы обойти все эти формальности, полагает газета.I3;;;;;;;;;;;;
За год госзаказ вырос на 20%, а число конкурентных закупок - на 1%. В среднем на одни торги приходится менее трех участников, в ходе трети торгов цена не снижается вообще.  Государство потеряло около 180 млрд рублей (2,68% от заказа), что, правда, меньше, чем год назад.I4;;;;;;;;;;;;
"Аттестация начнется с надзорного блока и других департаментов, в которых идут реформы, пишет газета со ссылкой на источники в Банке России. ""Есть понимание, что некоторые после переаттестации могут не остаться работать в ЦБ,"" - говорят они.I4";;;;;;;;;;;;
Банк находится под санкциями, в такой ситуации продажа значительного пакета западным инвесторам крайне затруднительна, если вообще возможна. Поэтому теоретически покупателями могут стать китайские инвесторы или представители Ближнего Востока.I4;;;;;;;;;;;;
"Как рассказали изданию два человека, знакомые с топ-менеджерами ""Роснефти"", и подтвердил высокопоставленный чиновник, консорциум покупателей может перепродать часть выкупленных акций. Наиболее вероятный кандидат - еще один арабский фонд.I3";;;;;;;;;;;;
"На этот актив, по данным источников газеты,  есть несколько претендентов, среди них - иностранные инвесторы, ""Роснефть"", ""Татнефтегаз"" и структуры Алексея и Юрия Хотиных. Сам Худайнатов заявил РБК, что он ""никогда и никому не предлагал продать компанию"".I1";;;;;;;;;;;;
22 декабря 2016 года ООО «Велфарм» (заемщик ФРП) открыло в Кургане импортозамещающее производство лекарственных препаратов, соответствующее международным стандартам GMP.I1;;;;;;;;;;;;
Холдинг «Вертолеты России» после перехода Александра Михеева в Рособоронэкспорт возглавит нынешний замглавы Минпромторга РФ Андрей Богинский, сообщил гендиректор «Ростеха» Сергей Чемезов.I3;;;;;;;;;;;;
Ростехнологии, Пресс-релиз: До конца года ВМФ получит всю партию модернизированных машинI1;;;;;;;;;;;;
"""Вест Хэм"" готов расстаться с Димитри Пайе за 40 миллионов евроЧитать дальшеI1";;;;;;;;;;;;
"Социальная сеть ""ВКонтакте"" расширила функционал раздела ""Товары"":  Теперь размещать объявления о продаже товаров и услуг наравне с сообществами могут пользователи соцсетиI1";;;;;;;;;;;;
"""Внуково"" по итогам 2016 года обслужил около 14 млн пассажиров - больше, чем ожидали в начале года. Кроме того, удалось привлечь новых перевозчиков, в частности из Ирана.I4";;;;;;;;;;;;
